,loan_id,no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value
count,4269.0,4269.0,4269.0,4269.0,4269.0,4269.0,4269.0,4269.0,4269.0,4269.0
mean,2135.0,2.4987116420707425,5059123.9166081045,15133450.456781447,10.900445069102835,599.9360505973295,7472616.537830873,4973155.3056922,15126305.926446475,4976692.433825252
std,1232.4984787008866,1.695910160711124,2806839.8318184614,9043362.98484286,5.709187279245264,172.43040073575875,6503636.587664098,4388966.089638461,9103753.665256495,3250185.305695702
min,1.0,0.0,200000.0,300000.0,2.0,300.0,-100000.0,0.0,300000.0,0.0
25%,1068.0,1.0,2700000.0,7700000.0,6.0,453.0,2200000.0,1300000.0,7500000.0,2300000.0
50%,2135.0,3.0,5100000.0,14500000.0,10.0,600.0,5600000.0,3700000.0,14600000.0,4600000.0
75%,3202.0,4.0,7500000.0,21500000.0,16.0,748.0,11300000.0,7600000.0,21700000.0,7100000.0
max,4269.0,5.0,9900000.0,39500000.0,20.0,900.0,29100000.0,19400000.0,39200000.0,14700000.0
skew,0.0,-0.01797054296784964,-0.012814425096650109,0.30872388482299223,0.036358907356478495,-0.009039277330065707,0.9784505965115631,0.9577908874986114,0.3222075028955774,0.5607250089736816
kurtosis,-1.2000000000000002,-1.256992233744976,-1.182728975874057,-0.7436797209184856,-1.2208527369898254,-1.1856695832238278,0.18473799432821192,0.1008126034954202,-0.7380561342202601,-0.39727743339035904
